City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.3,73,26,18.71,TF,1717647954
1,papatowai,-46.5619,169.4708,10.11,87,100,0.85,NZ,1717647954
2,bilibino,68.0546,166.4372,7.58,36,1,6.56,RU,1717647954
3,al ghayzah,16.2079,52.176,29.94,72,28,0.66,YE,1717647955
4,st. john's,47.5649,-52.7093,9.2,98,100,1.54,CA,1717647892
5,grytviken,-54.2811,-36.5092,-1.68,96,100,2.76,GS,1717647955
6,igarka,67.4667,86.5833,0.57,82,85,1.79,RU,1717647818
7,chapra,25.7667,84.75,30.99,31,0,4.1,IN,1717647956
8,punta arenas,-53.15,-70.9167,3.06,75,75,7.2,CL,1717647850
9,adamstown,-25.066,-130.1015,22.16,76,24,5.22,PN,1717647957
10,tomatlan,19.9333,-105.25,21.94,86,1,0.41,MX,1717647957
11,georgetown,5.4112,100.3354,33.97,52,20,2.06,MY,1717647843
12,jamestown,42.097,-79.2353,18.34,99,100,1.54,US,1717647730
13,waitangi,-43.9535,-176.5597,11.01,87,100,6.26,NZ,1717647958
14,blackmans bay,-43.0167,147.3167,13.18,78,1,1.22,AU,1717647959
15,sambava,-14.2667,50.1667,21.6,80,1,3.51,MG,1717647959
16,deridder,30.8463,-93.289,23.21,100,100,0.0,US,1717647959
17,hermanus,-34.4187,19.2345,14.33,85,45,6.29,ZA,1717647682
18,riohacha,11.5444,-72.9072,25.36,92,100,1.61,CO,1717647960
19,edinburgh of the seven seas,-37.0676,-12.3116,14.73,75,100,8.47,SH,1717647960
20,la ronge,55.1001,-105.2842,7.14,87,100,6.69,CA,1717647921
21,puerto natales,-51.7236,-72.4875,1.03,99,100,0.93,CL,1717647961
22,kurchatov,51.6601,35.6521,19.23,92,9,2.84,RU,1717647961
23,saipan,15.1355,145.701,32.39,62,40,7.72,MP,1717647961
24,campoverde,-8.4753,-74.8058,24.83,74,71,0.71,PE,1717647962
25,ciudad constitucion,25.0369,-111.6644,18.52,78,69,5.88,MX,1717647962
26,aras-asan,8.8908,126.3033,30.38,67,96,5.19,PH,1717647962
27,thompson,55.7435,-97.8558,6.09,93,100,3.6,CA,1717647963
28,atafu village,-8.5421,-172.5159,28.96,67,87,0.63,TK,1717647963
29,cabo san lucas,22.8909,-109.9124,27.61,76,1,6.84,MX,1717647691
30,isafjordur,66.0755,-23.124,1.41,91,97,5.04,IS,1717647964
31,nyurba,63.2842,118.3319,17.59,40,100,4.83,RU,1717647964
32,tungipara,22.9,89.9167,34.32,58,1,2.54,BD,1717647965
33,tazacorte,28.629,-17.9293,18.54,92,0,3.09,ES,1717647965
34,chaman,30.9236,66.4512,28.64,11,71,6.71,PK,1717647965
35,puerto ayora,-0.7393,-90.3518,21.42,95,29,1.34,EC,1717647966
36,hami,42.8,93.45,27.58,13,62,6.33,CN,1717647966
37,haiku-pauwela,20.9219,-156.3051,26.01,76,40,7.72,US,1717647966
38,anadyr,64.75,177.4833,3.28,64,0,8.0,RU,1717647967
39,ilulissat,69.2167,-51.1,2.01,87,100,0.0,GL,1717647967
40,yellowknife,62.456,-114.3525,14.12,64,75,4.63,CA,1717647953
41,albany,42.6001,-73.9662,22.23,84,100,2.66,US,1717647968
42,tadine,-21.55,167.8833,23.8,68,69,2.73,NC,1717647968
43,san julian,21.0167,-102.1667,24.24,21,34,3.26,MX,1717647968
44,saudarkrokur,65.7461,-19.6394,1.6,99,100,9.53,IS,1717647969
45,itapirapua,-15.8233,-50.6133,19.42,51,1,1.71,BR,1717647969
46,abepura,-2.6333,140.5833,31.45,58,20,1.54,ID,1717647969
47,mirnyy,62.5353,113.9611,10.69,53,100,4.02,RU,1717647970
48,colonia,50.9333,6.95,11.64,88,0,1.03,DE,1717647745
49,wailua homesteads,22.0669,-159.378,28.24,82,100,5.66,US,1717647971
50,hasaki,35.7333,140.8333,26.27,68,100,4.7,JP,1717647971
51,bredasdorp,-34.5322,20.0403,12.24,86,95,4.87,ZA,1717647971
52,dunedin,-45.8742,170.5036,11.0,83,100,0.45,NZ,1717647878
53,ushuaia,-54.8,-68.3,-3.19,80,0,3.6,AR,1717647769
54,fort bragg,35.139,-79.006,24.91,82,40,4.63,US,1717647972
55,taltal,-25.4,-70.4833,15.42,85,63,0.11,CL,1717647973
56,kailua-kona,19.6406,-155.9956,27.98,79,75,5.14,US,1717647973
57,hawaiian paradise park,19.5933,-154.9731,25.73,85,75,4.12,US,1717647973
58,olonkinbyen,70.9221,-8.7187,-0.15,99,100,7.86,SJ,1717647973
59,qaqortoq,60.7167,-46.0333,3.57,99,100,1.63,GL,1717647974
60,xichang,27.8964,102.2634,24.14,73,92,1.68,CN,1717647974
61,longyearbyen,78.2186,15.6401,1.91,75,20,6.17,SJ,1717647974
62,flin flon,54.7682,-101.865,3.41,94,100,5.1,CA,1717647863
63,puerto baquerizo moreno,-0.9,-89.6,21.54,87,20,4.52,EC,1717647732
64,west island,-12.1568,96.8225,29.99,79,75,6.17,CC,1717647788
65,san luis de la loma,17.2706,-100.8939,25.93,77,66,2.06,MX,1717647976
66,baruun-urt,46.6806,113.2792,17.43,47,68,10.0,MN,1717647976
67,nemuro,43.3236,145.575,8.38,74,94,2.65,JP,1717647977
68,arkhipo-osipovka,44.37,38.52,21.47,77,14,3.48,RU,1717647977
69,geraldton,-28.7667,114.6,27.23,28,97,8.75,AU,1717647977
70,mhamid,29.82,-5.72,25.67,24,0,1.1,MA,1717647978
71,olinda,-8.0089,-34.8553,26.85,78,40,3.09,BR,1717647978
72,arauquita,7.0292,-71.4281,22.69,99,81,0.58,CO,1717647978
73,iqaluit,63.7506,-68.5145,-0.15,100,100,0.0,CA,1717647979
74,coquimbo,-29.9533,-71.3436,10.85,100,100,2.06,CL,1717647703
75,lyozna,55.0249,30.7956,15.87,90,100,2.37,BY,1717647979
76,margaret river,-33.95,115.0667,18.89,89,82,10.86,AU,1717647980
77,vorgashor,67.5833,63.95,-1.22,88,10,3.63,RU,1717647980
78,port mathurin,-19.6833,63.4167,23.44,73,50,11.75,MU,1717647980
79,ust-nera,64.5667,143.2,20.28,27,34,0.43,RU,1717647981
80,vorkuta,67.5,64.0,-1.05,88,9,3.58,RU,1717647981
81,tiksi,71.6872,128.8694,9.05,65,42,2.26,RU,1717647981
82,chilecito,-29.1619,-67.4974,10.79,39,93,0.34,AR,1717647981
83,olney,39.1532,-77.0669,23.6,95,75,1.54,US,1717647933
84,touros,-5.1989,-35.4608,23.68,93,41,4.19,BR,1717647982
85,markovo,57.3206,107.0881,14.98,30,100,2.32,RU,1717647982
86,port lincoln,-34.7333,135.8667,15.58,64,69,3.88,AU,1717647983
87,constantia,44.1833,28.65,21.5,77,100,4.06,RO,1717647923
88,grand falls-windsor,48.9332,-55.6649,11.39,92,100,2.65,CA,1717647983
89,pokrovsk,48.282,37.1758,21.35,63,99,2.93,UA,1717647984
90,linqiong,30.4159,103.4609,23.9,77,100,1.48,CN,1717647984
91,utrik,11.2278,169.8474,28.09,80,20,7.33,MH,1717647984
92,micheweni,-4.9667,39.8333,25.5,82,70,4.79,TZ,1717647985
93,college,64.8569,-147.8028,15.18,83,75,5.14,US,1717647985
94,jaltenango de la paz,15.9167,-92.7167,23.71,91,100,1.85,MX,1717647985
95,whitehorse,60.7161,-135.0538,13.34,43,75,8.05,CA,1717647986
96,laredo,27.5064,-99.5075,30.16,70,20,5.14,US,1717647809
97,mount gambier,-37.8333,140.7667,14.93,67,74,3.15,AU,1717647986
98,cidade velha,14.9167,-23.6167,22.26,73,40,4.63,CV,1717647987
99,ancud,-41.8697,-73.8203,11.39,96,100,3.35,CL,1717647987
100,labasa,-16.4167,179.3833,25.25,77,46,4.23,FJ,1717647987
101,remire-montjoly,4.9167,-52.2667,25.02,100,75,0.0,GF,1717647988
102,vilyuchinsk,52.9306,158.4028,16.15,58,100,6.41,RU,1717647988
103,la foa,-21.7108,165.8276,25.38,65,43,2.72,NC,1717647988
104,wuchang,44.9143,127.15,18.48,66,98,6.1,CN,1717647989
105,new kingman-butler,35.265,-114.0323,34.51,16,0,4.63,US,1717647989
106,tabou,4.423,-7.3528,25.51,86,99,2.16,CI,1717647989
107,kovur,14.4833,79.9833,29.75,68,100,1.78,IN,1717647990
108,tanumah,27.1,44.1333,33.43,10,44,2.35,SA,1717647990
109,lihue,21.9789,-159.3672,28.58,77,100,5.66,US,1717647990
110,mashava,-20.0367,30.4823,12.23,23,0,2.19,ZW,1717647991
111,uturoa,-16.7333,-151.4333,27.0,82,68,4.1,PF,1717647991
112,salahonda,2.1019,-78.7217,26.32,80,85,6.52,CO,1717647992
113,carnarvon,-24.8667,113.6333,23.21,44,5,1.8,AU,1717647992
114,yuzhno-kurilsk,44.0306,145.8556,9.1,76,77,5.77,RU,1717647992
115,bratsk,56.1325,101.6142,12.27,40,33,2.44,RU,1717647993
116,constitucion,-35.3333,-72.4167,14.24,98,100,7.0,CL,1717647993
117,rio grande,-32.035,-52.0986,14.97,94,16,3.73,BR,1717647778
118,kapa'a,22.0752,-159.319,28.99,82,100,5.66,US,1717647994
119,okhotsk,59.3833,143.3,5.24,95,99,3.44,RU,1717647994
120,galeana,24.8333,-100.0667,21.13,32,24,0.92,MX,1717647995
121,florina,40.782,21.4098,14.92,88,9,1.87,GR,1717647918
122,kapuskasing,49.4169,-82.4331,18.05,94,100,2.57,CA,1717647995
123,vikhorevka,56.1201,101.1636,12.77,30,25,2.58,RU,1717647996
124,freetown,8.484,-13.2299,26.84,86,97,2.53,SL,1717647996
125,vuktyl,63.8567,57.3094,9.5,92,100,1.79,RU,1717647997
126,agadez,19.75,10.25,32.08,17,18,3.6,NE,1717647998
127,sitka,57.0531,-135.33,9.94,76,100,4.12,US,1717647998
