City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aasiaat,68.7098,-52.8699,1.94,91,81,1.67,GL,1717963486
1,anar darah,32.7587,61.654,29.67,15,0,7.36,AF,1717963486
2,hawaiian paradise park,19.5933,-154.9731,27.24,62,100,3.09,US,1717963487
3,christchurch,-43.5333,172.6333,12.49,83,45,1.54,NZ,1717963202
4,paita,-5.0892,-81.1144,21.6,70,19,6.81,PE,1717963487
5,prince rupert,54.3161,-130.3201,12.05,77,100,7.72,CA,1717963290
6,pacific grove,36.6177,-121.9166,23.34,75,0,5.66,US,1717963488
7,dudinka,69.4058,86.1778,3.71,94,100,3.58,RU,1717963488
8,albany,42.6001,-73.9662,21.49,67,10,2.24,US,1717963106
9,grytviken,-54.2811,-36.5092,-6.35,76,20,5.79,GS,1717963489
10,antsiranana,-12.2787,49.2917,23.3,74,8,6.34,MG,1717963489
11,okhotsk,59.3833,143.3,5.33,89,5,2.51,RU,1717963490
12,slave lake,55.2834,-114.769,11.99,58,100,2.57,CA,1717963490
13,bilibino,68.0546,166.4372,8.71,53,12,1.82,RU,1717963491
14,college,64.8569,-147.8028,24.18,33,75,2.57,US,1717963491
15,constantia,44.1833,28.65,21.5,74,33,3.85,RO,1717963491
16,whitehorse,60.7161,-135.0538,21.68,27,75,4.12,CA,1717963492
17,waitangi,-43.9535,-176.5597,13.23,94,100,6.71,NZ,1717963492
18,tura,25.5198,90.2201,24.45,96,42,2.63,IN,1717963492
19,vorgashor,67.5833,63.95,2.11,96,100,3.65,RU,1717963493
20,adamstown,-25.066,-130.1015,22.47,73,100,5.63,PN,1717963493
21,yuzhno-kurilsk,44.0306,145.8556,11.32,93,100,3.8,RU,1717963493
22,blackmans bay,-43.0167,147.3167,5.29,83,7,0.45,AU,1717963391
23,caucel,21.0167,-89.7167,36.7,51,75,5.81,MX,1717963494
24,zouerate,22.7187,-12.4521,34.15,21,7,5.19,MR,1717963494
25,tiksi,71.6872,128.8694,0.4,95,100,3.59,RU,1717963495
26,labrador city,52.9463,-66.9114,23.99,36,75,3.6,CA,1717963495
27,uglich,57.5275,38.3317,14.41,63,100,2.26,RU,1717963495
28,fort bragg,35.139,-79.006,31.06,50,55,1.34,US,1717963496
29,papatowai,-46.5619,169.4708,7.98,85,100,5.45,NZ,1717963496
30,georgetown,5.4112,100.3354,26.96,83,40,6.71,MY,1717963216
31,puerto natales,-51.7236,-72.4875,0.25,100,100,1.54,CL,1717963151
32,invercargill,-46.4,168.35,7.79,79,100,3.13,NZ,1717963497
33,san antonio de pale,-1.4014,5.6325,24.82,82,100,3.94,GQ,1717963238
34,anadyr,64.75,177.4833,6.28,75,0,5.0,RU,1717963497
35,puerto ayora,-0.7393,-90.3518,27.98,94,88,0.89,EC,1717963498
36,touros,-5.1989,-35.4608,26.12,82,96,6.6,BR,1717963498
37,macau,22.2006,113.5461,27.06,94,40,4.12,MO,1717963220
38,tazovsky,67.4667,78.7,0.67,89,100,3.12,RU,1717963499
39,vadso,70.0744,29.7487,6.49,87,100,7.2,NO,1717963499
40,tarnogskiy gorodok,60.4997,43.5761,9.75,87,56,2.11,RU,1717963499
41,howard springs,-12.497,131.047,17.95,83,5,2.89,AU,1717963500
42,atafu village,-8.5421,-172.5159,28.37,72,89,3.3,TK,1717963500
43,werne,51.6645,7.6342,14.52,57,0,2.57,DE,1717963500
44,laguna,38.421,-121.4238,29.62,44,0,4.12,US,1717963501
45,iqaluit,63.7506,-68.5145,4.85,48,75,5.66,CA,1717963247
46,wailua homesteads,22.0669,-159.378,28.24,76,75,6.17,US,1717963501
47,talnakh,69.4865,88.3972,3.45,98,100,0.92,RU,1717963502
48,mogadishu,2.0371,45.3438,26.35,81,91,8.98,SO,1717963502
49,sandila,27.0833,80.5167,34.69,13,2,3.3,IN,1717963503
50,margaret river,-33.95,115.0667,15.43,59,98,10.87,AU,1717963503
51,borazjan,29.2666,51.2159,33.62,38,0,0.62,IR,1717963504
52,bredasdorp,-34.5322,20.0403,10.36,90,9,1.43,ZA,1717963504
53,uvira,-3.4067,29.1458,24.05,63,75,0.75,CD,1717963505
54,kerikeri,-35.2268,173.9474,16.62,94,100,2.24,NZ,1717963505
55,maturin,9.75,-63.1767,30.36,67,50,3.62,VE,1717962831
56,edinburgh of the seven seas,-37.0676,-12.3116,13.77,83,63,7.62,SH,1717963506
57,kiboga,0.9161,31.7742,16.86,83,20,0.88,UG,1717963506
58,uturoa,-16.7333,-151.4333,26.86,80,100,4.61,PF,1717963507
59,kodiak,57.79,-152.4072,7.73,93,100,10.8,US,1717963507
60,west island,-12.1568,96.8225,26.99,83,42,2.06,CC,1717963507
61,marsa alam,25.0757,34.8918,30.67,37,0,4.6,EG,1717963508
62,oyama,36.3,139.8,20.33,92,100,3.16,JP,1717963508
63,ushuaia,-54.8,-68.3,0.81,75,20,1.03,AR,1717963285
64,ust-nera,64.5667,143.2,8.04,43,66,1.72,RU,1717963509
65,tolanaro,-25.0319,46.9987,17.04,94,75,5.14,MG,1717963509
66,hotan,37.0997,79.9269,20.85,38,46,0.45,CN,1717963509
67,waddan,29.1614,16.139,32.15,15,0,3.72,LY,1717963510
68,manokwari,-0.8667,134.0833,26.05,75,100,1.59,ID,1717963510
69,haiku-pauwela,20.9219,-156.3051,27.87,60,20,7.72,US,1717963510
70,'ali al gharbi,32.4633,46.6864,40.05,9,21,6.3,IQ,1717963511
71,choma,-16.8065,26.9531,12.7,63,0,2.03,ZM,1717963511
72,bethel,41.3712,-73.414,22.79,61,75,3.09,US,1717963512
73,niquero,20.0431,-77.5828,28.49,79,100,4.75,CU,1717963512
74,marat,25.0701,45.4615,33.79,9,1,4.59,SA,1717963512
75,prestatyn,53.3375,-3.4078,12.59,92,100,1.34,GB,1717963513
76,fortuna,40.5982,-124.1573,18.53,82,75,4.12,US,1717963513
77,bowen,-20.0167,148.2333,13.65,75,0,2.3,AU,1717963514
78,severo-yeniseyskiy,60.3725,93.0408,8.1,98,87,1.34,RU,1717963514
79,qamdo,31.1667,97.2333,9.01,60,12,1.19,CN,1717963514
80,klyuchi,52.2667,79.1667,16.97,87,99,3.25,RU,1717963515
81,daru,-9.0763,143.2092,25.63,89,99,7.74,PG,1717963515
82,kimbe,-5.5502,150.1429,24.88,92,89,1.8,PG,1717963515
83,menongue,-14.6585,17.691,14.86,41,0,2.36,AO,1717963516
84,iskateley,67.6803,53.1512,1.68,87,100,4.47,RU,1717963516
85,port mathurin,-19.6833,63.4167,24.4,80,44,7.55,MU,1717963516
86,grootfontein,-19.5667,18.1167,14.29,48,0,2.66,NA,1717963517
87,port-aux-francais,-49.35,70.2167,5.63,95,100,15.23,TF,1717963517
88,eydhafushi,5.1033,73.0708,28.79,77,90,7.26,MV,1717963517
89,dampit,-8.2116,112.7493,22.21,99,70,0.54,ID,1717963518
90,stanley,54.868,-1.6985,11.77,73,20,2.06,GB,1717963518
91,saipan,15.1355,145.701,26.39,89,40,3.6,MP,1717963518
92,colchani,-20.3,-66.9333,6.87,39,84,5.38,BO,1717963519
93,punta arenas,-53.15,-70.9167,2.06,80,75,2.57,CL,1717963519
94,kyzyl,51.7,94.45,17.79,58,98,1.79,RU,1717963519
95,ubari,26.5921,12.7805,31.15,10,0,2.88,LY,1717963520
96,valdivia,-39.8142,-73.2459,13.05,87,90,3.38,CL,1717963520
97,muisne,0.6,-80.0333,24.45,88,100,5.26,EC,1717963520
98,port elizabeth,-33.918,25.5701,10.61,87,0,1.54,ZA,1717963520
99,keflavik,64.0049,-22.5624,10.48,62,0,4.63,IS,1717963521
100,karatas,36.582,35.3701,26.36,87,4,3.7,TR,1717963521
101,bikenibeu village,1.3673,173.1241,27.98,83,20,2.06,KI,1717963521
102,asentamiento humano nicolas de pierola,-11.95,-76.7,12.16,41,52,3.71,PE,1717963522
103,enewetak,11.3474,162.3373,28.28,82,100,7.22,MH,1717963522
104,yazman,29.1212,71.7446,34.76,26,100,4.87,PK,1717963522
105,afaahiti,-17.75,-149.2833,25.93,83,97,6.96,PF,1717963523
106,huarmey,-10.0681,-78.1522,21.33,70,63,3.86,PE,1717963437
107,isafjordur,66.0755,-23.124,8.02,76,40,7.72,IS,1717963523
108,tobelo,1.7284,128.0095,26.57,83,100,1.98,ID,1717963524
109,hermanus,-34.4187,19.2345,11.0,78,20,3.68,ZA,1717963524
110,hithadhoo,-0.6,73.0833,28.27,74,100,1.8,MV,1717963524
111,sake,-1.5736,29.045,18.64,79,98,0.93,CD,1717963525
