City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,laguna,38.421,-121.4238,30.81,43,0,5.66,US,1717897803
1,utrik,11.2278,169.8474,28.42,78,19,5.57,MH,1717897804
2,ma'an,26.9775,110.7211,22.34,91,100,1.85,CN,1717897804
3,olonkinbyen,70.9221,-8.7187,0.06,96,100,6.49,SJ,1717897805
4,bredasdorp,-34.5322,20.0403,8.95,88,0,1.18,ZA,1717897805
5,kalmunai,7.4167,81.8167,27.21,77,100,4.72,LK,1717897806
6,stanley,54.868,-1.6985,9.18,74,75,7.72,GB,1717897806
7,port alfred,-33.5906,26.891,14.24,71,47,3.3,ZA,1717897807
8,saint-pierre,-21.3393,55.4781,19.82,68,0,3.6,RE,1717897511
9,iqaluit,63.7506,-68.5145,-0.15,69,75,5.66,CA,1717897808
10,albany,42.6001,-73.9662,19.23,70,78,0.89,US,1717897687
11,talnakh,69.4865,88.3972,1.78,85,64,4.83,RU,1717897673
12,port-aux-francais,-49.35,70.2167,5.97,97,100,12.03,TF,1717897809
13,port elizabeth,-33.918,25.5701,5.16,93,0,2.06,ZA,1717897809
14,grytviken,-54.2811,-36.5092,0.1,99,100,4.84,GS,1717897810
15,blackmans bay,-43.0167,147.3167,10.41,81,99,0.89,AU,1717897810
16,las lomitas,-24.7096,-60.593,27.55,33,52,5.69,AR,1717897811
17,carnarvon,-24.8667,113.6333,24.76,64,97,9.37,AU,1717897811
18,antipino,57.1068,65.7576,15.16,71,41,3.24,RU,1717897811
19,isafjordur,66.0755,-23.124,2.58,88,93,2.19,IS,1717897812
20,lihue,21.9789,-159.3672,30.58,70,0,6.69,US,1717897812
21,adamstown,-25.066,-130.1015,22.53,79,100,6.8,PN,1717897813
22,'ali al gharbi,32.4633,46.6864,34.96,11,0,4.18,IQ,1717897813
23,chui,-33.6971,-53.4616,17.04,96,100,3.09,UY,1717897814
24,wailua homesteads,22.0669,-159.378,30.24,77,0,6.69,US,1717897814
25,ust-nera,64.5667,143.2,9.27,35,100,2.6,RU,1717897814
26,ilulissat,69.2167,-51.1,4.01,75,5,0.0,GL,1717897815
27,itajuba,-22.4256,-45.4528,16.53,84,0,1.18,BR,1717897815
28,east london,-33.0153,27.9116,13.22,72,46,2.65,ZA,1717897816
29,edinburgh of the seven seas,-37.0676,-12.3116,16.35,89,100,15.54,SH,1717897816
30,ola,59.5833,151.2833,5.08,84,96,4.34,RU,1717897817
31,kirensk,57.7853,108.1119,16.09,39,7,2.68,RU,1717897817
32,luwuk,-0.9516,122.7875,27.2,76,100,2.46,ID,1717897818
33,jamestown,42.097,-79.2353,16.92,63,100,0.0,US,1717897688
34,broome,42.2506,-75.833,16.43,99,52,1.28,US,1717897818
35,enewetak,11.3474,162.3373,28.46,80,100,7.08,MH,1717897819
36,kodiak,57.79,-152.4072,7.73,93,100,9.77,US,1717897819
37,susuman,62.7833,148.1667,4.43,51,100,4.02,RU,1717897820
38,kirillov,59.863,38.3813,9.99,98,92,1.66,RU,1717897820
39,tangalle,6.024,80.7911,26.76,85,100,5.4,LK,1717897821
40,hithadhoo,-0.6,73.0833,28.39,74,32,3.79,MV,1717897521
41,vila velha,-20.3297,-40.2925,23.97,78,75,1.54,BR,1717897821
42,college,64.8569,-147.8028,28.18,21,40,6.69,US,1717897822
43,yellowknife,62.456,-114.3525,15.31,36,75,2.06,CA,1717897822
44,angra do heroismo,38.65,-27.2167,20.06,91,20,0.89,PT,1717897823
45,longyearbyen,78.2186,15.6401,1.91,75,75,4.63,SJ,1717897823
46,waddan,29.1614,16.139,25.29,28,0,4.01,LY,1717897824
47,uturoa,-16.7333,-151.4333,26.53,79,5,5.15,PF,1717897824
48,albertina,-22.2008,-46.6158,15.34,68,6,2.79,BR,1717897825
49,saint-francois,46.4154,3.9054,16.9,94,100,2.06,FR,1717897820
50,thompson,55.7435,-97.8558,12.09,43,40,6.69,CA,1717897826
51,puerto carreno,6.189,-67.4859,24.41,93,72,1.81,CO,1717897826
52,kill devil hills,36.0307,-75.676,25.01,63,0,6.17,US,1717897827
53,waitangi,-43.9535,-176.5597,11.57,80,15,2.24,NZ,1717897827
54,st. john's,47.5649,-52.7093,10.93,92,100,2.06,CA,1717897828
55,praia da vitoria,38.7333,-27.0667,19.86,88,20,4.74,PT,1717897828
56,bilibino,68.0546,166.4372,12.43,30,0,3.28,RU,1717897829
57,sao felix do xingu,-6.6447,-51.995,22.69,73,24,0.77,BR,1717897829
58,ar rutbah,33.0381,40.2848,26.22,23,0,2.47,IQ,1717897829
59,kailua-kona,19.6406,-155.9956,30.33,90,100,4.12,US,1717897830
60,avarua,-21.2078,-159.775,24.03,50,53,3.6,CK,1717897830
61,kapa'a,22.0752,-159.319,30.99,77,0,6.69,US,1717897831
62,den burg,53.0542,4.7972,12.99,79,75,6.17,NL,1717897831
63,tiksi,71.6872,128.8694,0.79,92,100,4.11,RU,1717897832
64,horta,38.5333,-28.6333,18.34,87,17,0.89,PT,1717897832
65,itoman,26.1247,127.6694,27.43,100,75,4.63,JP,1717897832
66,klyuchi,52.2667,79.1667,19.25,76,71,1.52,RU,1717897833
67,ushuaia,-54.8,-68.3,-0.19,74,0,1.54,AR,1717897737
68,keflavik,64.0049,-22.5624,7.24,76,0,4.63,IS,1717897834
69,happy valley-goose bay,53.3168,-60.3315,18.17,63,20,5.14,CA,1717897834
70,kendallville,41.4414,-85.265,21.39,94,100,3.6,US,1717897627
71,puerto natales,-51.7236,-72.4875,0.7,91,100,3.02,CL,1717897835
72,kamensk-ural'skiy,56.4185,61.9329,11.62,79,100,4.79,RU,1717897698
73,invercargill,-46.4,168.35,10.01,87,87,1.34,NZ,1717897836
74,bethel,41.3712,-73.414,21.17,67,0,2.06,US,1717897613
75,vernon,50.2581,-119.2691,26.83,25,99,1.34,CA,1717897837
76,georgetown,5.4112,100.3354,29.97,83,20,2.57,MY,1717897495
77,margaret river,-33.95,115.0667,15.67,61,100,10.43,AU,1717897837
78,luderitz,-26.6481,15.1594,18.61,30,0,8.12,,1717897838
79,vadso,70.0744,29.7487,3.49,93,100,5.14,NO,1717897838
80,abalak,58.1286,68.5944,12.97,68,9,1.07,RU,1717897839
81,puerto ayora,-0.7393,-90.3518,22.53,95,19,1.88,EC,1717897839
82,fale old settlement,-9.3852,-171.2468,29.03,68,100,1.25,TK,1717897840
83,dalhart,36.0595,-102.5133,24.71,68,20,5.66,US,1717897840
84,tazacorte,28.629,-17.9293,19.54,88,0,3.13,ES,1717897841
85,remire-montjoly,4.9167,-52.2667,25.02,100,20,0.51,GF,1717897841
86,daru,-9.0763,143.2092,26.67,84,63,7.66,PG,1717897841
87,port blair,11.6667,92.75,29.02,79,75,4.63,IN,1717897842
88,ladario,-19.0047,-57.6017,21.95,48,83,0.48,BR,1717897843
89,bac lieu,9.285,105.7244,31.37,56,98,7.32,VN,1717897843
90,nieuw amsterdam,5.8833,-55.0833,25.09,90,67,3.0,SR,1717897844
91,takoradi,4.8845,-1.7554,25.69,87,96,4.14,GH,1717897844
92,fortaleza,-3.7227,-38.5247,28.45,83,75,4.63,BR,1717897738
93,hobyo,5.3505,48.5268,26.41,81,66,10.7,SO,1717897845
94,naracoorte,-36.9579,140.7383,14.07,55,3,2.64,AU,1717897845
95,marsh harbour,26.5412,-77.0636,28.42,75,3,4.13,BS,1717897846
96,dashitou,43.3067,128.5114,16.73,84,77,4.16,CN,1717897846
97,kruisfontein,-34.0033,24.7314,10.3,75,31,1.98,ZA,1717897847
98,papatowai,-46.5619,169.4708,11.3,75,100,3.59,NZ,1717897847
99,manta,-0.95,-80.7333,22.88,88,75,4.63,EC,1717897847
100,san sebastian de la gomera,28.0916,-17.1133,21.32,77,0,2.06,ES,1717897848
101,inhambane,-23.865,35.3833,20.04,60,69,6.32,MZ,1717897848
102,ciudad lazaro cardenas,17.9583,-102.2,26.13,77,19,3.05,MX,1717897833
103,hamilton,39.1834,-84.5333,23.43,68,100,3.6,US,1717897550
